./static/chairbot/py/CB03.txt
x/ll[0] 	 y/ll[1] 	 degree 	 time
442.25	262.75	258.413723465	1590693333.44	
442.5	262.5	258.135609549	1590693333.47	
442.25	262.75	257.954367615	1590693333.51	
442.0	263.25	258.183852927	1590693333.54	
441.75	264.0	258.003100692	1590693333.57	
441.5	264.25	258.183852927	1590693333.61	
441.25	264.5	258.46070214	1590693333.64	
441.0	264.75	258.735794395	1590693333.67	
440.75	265.25	258.413723465	1590693333.71	
441.0	265.5	258.231711068	1590693333.74	
441.0	265.75	258.183852927	1590693333.77	
441.0	266.5	258.135609549	1590693333.8	
441.25	266.25	257.954367615	1590693333.84	
441.5	265.5	257.675272566	1590693333.87	
442.75	264.75	257.496578102	1590693333.9	
444.25	263.5	256.987802423	1590693333.94	
446.25	262.5	256.746284374	1590693333.97	
447.5	262.5	256.192480984	1590693334.0	
448.5	263.25	255.099197716	1590693334.04	
450.25	263.75	254.744881297	1590693334.07	
452.0	266.25	254.385598565	1590693334.1	
452.5	269.0	254.45019583	1590693334.14	
452.75	272.5	254.80759099	1590693334.17	
453.0	275.25	255.099197716	1590693334.2	
453.25	278.0	255.848589291	1590693334.24	
453.75	279.75	256.47683935	1590693334.27	
454.75	280.0	256.987802423	1590693334.3	
455.25	278.5	257.342726633	1590693334.34	
456.25	276.25	257.394422646	1590693334.37	
457.5	273.5	257.319616508	1590693334.4	
460.75	269.25	256.02065401	1590693334.44	
462.5	265.5	254.659109236	1590693334.47	
463.0	261.75	254.59415994	1590693334.5	
463.25	257.5	254.291362171	1590693334.54	
464.5	252.25	253.141601232	1590693334.57	
464.75	248.5	251.643217267	1590693334.6	
464.75	245.25	250.628418878	1590693334.63	
463.25	242.25	251.411030635	1590693334.67	
461.0	241.0	251.101753085	1590693334.7	
458.5	240.0	251.101753085	1590693334.73	
455.75	239.25	251.873920312	1590693334.77	
454.5	240.0	252.645975364	1590693334.8	
454.5	240.25	251.954812372	1590693334.83	
453.75	241.5	252.58667833	1590693334.86	
453.75	242.0	252.734190505	1590693334.9	
454.75	244.0	252.264693491	1590693334.93	
453.75	248.5	253.758928963	1590693334.96	
452.25	255.0	255.731556063	1590693335.0	
451.75	262.0	256.437754236	1590693335.03	
453.25	266.25	257.11802221	1590693335.06	
454.75	270.25	257.819083921	1590693335.1	
455.0	274.25	259.015872671	1590693335.13	
455.0	275.25	259.781735678	1590693335.17	
454.5	274.5	261.326825952	1590693335.2	
453.75	272.75	262.485222456	1590693335.23	
453.25	270.0	261.835024991	1590693335.27	
454.5	266.25	261.142041236	1590693335.3	
456.0	262.0	259.07719528	1590693335.33	
456.75	258.75	257.714083919	1590693335.36	
458.0	256.75	256.731592144	1590693335.4	
458.75	253.75	254.922129856	1590693335.43	
459.75	252.0	254.229927235	1590693335.47	
460.0	250.75	253.42307791	1590693335.5	
460.5	250.25	253.42307791	1590693335.53	
460.0	250.25	254.054604099	1590693335.56	
460.0	250.5	254.611532167	1590693335.6	
459.75	250.75	254.922129856	1590693335.63	
458.75	251.0	255.963756532	1590693335.66	
458.0	250.5	256.209133103	1590693335.7	
458.5	250.25	256.148580986	1590693335.73	
459.0	249.5	255.23080147	1590693335.76	
459.25	250.0	254.722438768	1590693335.79	
459.5	248.75	254.407189061	1590693335.83	
460.75	247.75	253.668188392	1590693335.86	
460.5	246.25	253.567584309	1590693335.89	
461.0	244.75	252.934731489	1590693335.93	
462.0	242.5	252.525225744	1590693335.96	
463.25	240.0	251.96018822	1590693335.99	
464.25	237.5	251.486239976	1590693336.03	
466.25	235.25	250.950642777	1590693336.06	
466.75	232.75	249.995696372	1590693336.09	
468.5	230.75	248.838740183	1590693336.13	
470.25	229.75	248.428692809	1590693336.16	
471.0	228.75	248.38091537	1590693336.19	
471.5	228.0	248.29011724	1590693336.23	
471.75	227.75	248.153081564	1590693336.26	
472.25	227.5	248.875280854	1590693336.29	
471.75	227.5	249.44395478	1590693336.33	
471.0	227.75	250.698193564	1590693336.36	
470.0	228.75	251.800834947	1590693336.39	
469.0	228.5	252.67591046	1590693336.43	
471.0	228.75	252.121303404	1590693336.46	
473.0	228.5	251.25024237	1590693336.49	
475.5	228.0	250.615484321	1590693336.53	
475.5	228.5	249.973910906	1590693336.56	
476.25	229.5	249.863696572	1590693336.59	
476.5	229.75	249.887411711	1590693336.63	
475.75	230.75	248.439936093	1590693336.66	
476.25	232.25	247.562540525	1590693336.69	
477.25	232.5	246.429583689	1590693336.72	
479.75	232.75	244.013674389	1590693336.76	
481.5	233.5	242.987334652	1590693336.79	
482.0	235.5	242.987334652	1590693336.82	
480.25	239.0	244.785483232	1590693336.86	
478.0	244.5	250.615484321	1590693336.92	
484.5	252.75	248.292287535	1590693337.19	
483.75	252.75	248.244983847	1590693337.22	
482.75	253.25	249.530810368	1590693337.25	
481.75	253.75	249.179107147	1590693337.29	
483.0	253.25	247.166345822	1590693337.32	
